reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
BitVise,DropBear,msat,8,0.21716809272766113,0.38123369216918945,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,msat,9,0.2107534408569336,0.40610241889953613,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,1,0.15572738647460938,0.2472383975982666,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,10,0.15421819686889648,0.24693703651428223,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,2,0.14921903610229492,0.24347877502441406,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,3,0.15034151077270508,0.2566864490509033,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,4,0.2260143756866455,0.3564760684967041,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,5,0.15461182594299316,0.24517607688903809,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,6,0.15560388565063477,0.26240038871765137,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,7,0.15709376335144043,0.2667572498321533,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,8,0.1631605625152588,0.29653501510620117,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,yices,9,0.16101717948913574,0.2663695812225342,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,1,0.18136191368103027,0.3870723247528076,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,10,0.17782306671142578,0.2940638065338135,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,2,0.17792844772338867,0.36408495903015137,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,3,0.17566370964050293,0.3005540370941162,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,4,0.2573726177215576,0.44553184509277344,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,5,0.17676329612731934,0.3787271976470947,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,6,0.17953181266784668,0.31624269485473633,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,7,0.19214296340942383,0.33339858055114746,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,DropBear,z3,8,0.20313620567321777,0.44045114517211914,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
