reference version,updated version,reference model date,updated model date,delta date (days),incoming time,outgoing time,SMT solver,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
0_9_7TLS10,1_1_0TLS10,2002-06-01,2015-12-10,-4940,0.01623988151550293,0.06995296478271484,yices,0.6324110671936759,0.8163265306122449,0.5161290322580645,15,155,9,89,16,173
0_9_7TLS10,1_1_0TLS10,2002-06-01,2015-12-10,-4940,0.02567458152770996,0.09951400756835938,z3,0.6324110671936759,0.8163265306122449,0.5161290322580645,15,155,9,89,16,173
0_9_7TLS10,1_1_1TLS10,2002-06-01,2018-02-13,-5736,0.03711390495300293,0.09346294403076172,cvc4,0.6324110671936759,0.8163265306122449,0.5161290322580645,15,155,9,89,16,173
0_9_7TLS10,1_1_1TLS10,2002-06-01,2018-02-13,-5736,0.03525876998901367,0.1102437973022461,msat,0.6324110671936759,0.8163265306122449,0.5161290322580645,15,155,9,89,16,173
0_9_7TLS10,1_1_1TLS10,2002-06-01,2018-02-13,-5736,0.015883684158325195,0.0672922134399414,yices,0.6324110671936759,0.8163265306122449,0.5161290322580645,15,155,9,89,16,173
0_9_7TLS10,1_1_1TLS10,2002-06-01,2018-02-13,-5736,0.022143840789794922,0.08178043365478516,z3,0.6324110671936759,0.8163265306122449,0.5161290322580645,15,155,9,89,16,173
0_9_8lTLS10,0_9_7eTLS10,2009-11-05,2004-10-25,1837,0.04615616798400879,0.09707903861999512,cvc4,0.7518796992481204,0.6451612903225806,0.9009009009009009,11,111,15,155,15,166
0_9_8lTLS10,0_9_7eTLS10,2009-11-05,2004-10-25,1837,0.0308229923248291,0.08284425735473633,msat,0.7518796992481204,0.6451612903225806,0.9009009009009009,11,111,15,155,15,166
0_9_8lTLS10,0_9_7eTLS10,2009-11-05,2004-10-25,1837,0.02141284942626953,0.0671231746673584,yices,0.7518796992481204,0.6451612903225806,0.9009009009009009,11,111,15,155,15,166
0_9_8lTLS10,0_9_7eTLS10,2009-11-05,2004-10-25,1837,0.02269124984741211,0.07443022727966309,z3,0.7518796992481204,0.6451612903225806,0.9009009009009009,11,111,15,155,15,166
0_9_8lTLS10,0_9_7TLS10,2009-11-05,2002-06-01,2714,0.046445608139038086,0.09727907180786133,cvc4,0.7293233082706767,0.6258064516129033,0.8738738738738738,11,111,15,155,15,169
0_9_8lTLS10,0_9_7TLS10,2009-11-05,2002-06-01,2714,0.03072190284729004,0.07746720314025879,msat,0.7293233082706767,0.6258064516129033,0.8738738738738738,11,111,15,155,15,169
0_9_8lTLS10,0_9_7TLS10,2009-11-05,2002-06-01,2714,0.02147221565246582,0.09360432624816895,yices,0.7293233082706767,0.6258064516129033,0.8738738738738738,11,111,15,155,15,169
0_9_8lTLS10,0_9_7TLS10,2009-11-05,2002-06-01,2714,0.023647308349609375,0.07445383071899414,z3,0.7293233082706767,0.6258064516129033,0.8738738738738738,11,111,15,155,15,169
0_9_8lTLS10,0_9_8lTLS10,2009-11-05,2009-11-05,0,0.03708004951477051,0.08762192726135254,cvc4,1.0,1.0,1.0,11,111,11,111,11,111
0_9_8lTLS10,0_9_8lTLS10,2009-11-05,2009-11-05,0,0.022282838821411133,0.07485532760620117,msat,1.0,1.0,1.0,11,111,11,111,11,111
0_9_8lTLS10,0_9_8lTLS10,2009-11-05,2009-11-05,0,0.015779495239257812,0.06153059005737305,yices,1.0,1.0,1.0,11,111,11,111,11,111
